Collection Number,Species,Voucher Information / Collection Site,ITS accession number,rbcLX accession number,rbcLX phylogroup
N1932,P. sp.  7a,"Canada, British Columbia; B. Goffinet 3167; CONN",KX897363,KX923053,XIa
P3055,P. sp.  7a,"Canada, British Columbia; T. Goward 06-1371; UBC ",XXXXXXXX,XXXXXXXX,XIa
P1660,P. sp.  7b,"Japan, Hokkaido; G. Thor 25408; UPS-519475",KX897365,KX923054,XIa
P1672,P. sp.  7b,"Japan, Hokkaido; G. Thor; UPS",KX897366,KX923055,XIa
P1674,P. sp.  7b,"Japan, Hokkaido; G. Thor 25401; UPS-519496",KX897367,KX923056,XIa
N1947,P. sp.  8,"China, Yunnan; B. Goffinet 9978; CONN",KX897368,KX923057,HT31
P1272,P. sp.  8,"China, Jilin; M. Sohrabi 16572; M. Sohrabi Private Coll.",KX897369,KX923058,HT43
N1920,P. sp.  8,"China, Yunnan; B. Goffinet 9983; CONN",KX897370,KX923059,HT47
N1754,P. sp.  8,South Korea; J. Santosh 090187; J. Santosh Private Coll.,KX897371,KX923060,VIIIa
N1897,P. sp.  8,"China, Yunnan; B. Goffinet 10060; CONN",KX897372,KX923061,VIIIa
N1898,P. sp.  8,"China, Yunnan; B. Goffinet 10063; CONN",KX897373,KX923062,VIIIa
N1900,P. sp.  8,"China, Yunnan; B. Goffinet 10102; CONN",KX897374,KX923063,VIIIa
N1922,P. sp.  8,"China, Yunnan; B. Goffinet 10072; CONN",KX897375,KX923064,VIIIa
N1924,P. sp.  8,"China, Yunnan; B. Goffinet 10095; CONN",KX897376,KX923065,VIIIa
N1928,P. sp.  8,"China, Yunnan; B. Goffinet 10107; CONN",KX897377,KX923066,VIIIa
P1237,P. sp.  8,Taiwan; A. Mikulin T71; A. Mikulin Private Coll.,KX897378,KX923067,VIIIa
P1299,P. sp.  8,"China, Yunnan; J. Miadlikowska et al. s.n.; DUKE",KX897379,KX923068,VIIIa
P3013,P. sp.  8,"Russia, Khabarovsk Territory; F. Lutzoni and J. Miadlikowska -P3013.; DUKE ",XXXXXXXX,XXXXXXXX,VIIIa
N1748,P. sp.  8,South Korea; J. Santosh 080042; J. Santosh Private Coll.,KX897380,KX923069,XIV
N1752,P. sp.  8,South Korea; J. Santosh 090132; J. Santosh Private Coll.,KX897381,KX923070,XIV
N1766,P. sp.  8,South Korea; J. Santosh 040808; J. Santosh Private Coll.,KX897382,KX923071,XIV
P3035,P. sp.  8,"Russia, Khabarovsk Territory; F. Lutzoni and J. Miadlikowska -P3035.; DUKE ",YYYYYYYY,YYYYYYYY,XIV
N1907,P. sp.  9,"China, Yunnan; B. Goffinet 10100; CONN",KX897383,KX923072,VIIIa
N1908,P. sp.  9,"China, Yunnan; B. Goffinet 10040; CONN",KX897384,KX923073,VIIIa
N1918,P. sp.  9,"China, Yunnan; B. Goffinet 10101; CONN",KX897385,KX923074,VIIIa
N1921,P. sp.  9,"China, Yunnan; B. Goffinet 10064; CONN",KX897386,KX923075,VIIIa
N1923,P. sp.  9,"China, Yunnan; B. Goffinet 10073; CONN",KX897387,KX923076,VIIIa
N1936,P. sp.  9,"China, Yunnan; B. Goffinet 10108; CONN",KX897388,KX923077,VIIIa
P1508,P. sp.  9,"China, Yunnan; J. Miadlikowska et al. s.n.; DUKE",KX897389,KX923078,VIIIa
P332,P. truculenta,Chile; T. Wheeler 89; T. Wheeler Private Coll.,KX897396,KX923085,HT36
P329,P. truculenta,Chile; P. Nelson 4362; T. Wheeler Private Coll.,KX897397,KX923086,HT38
P1251,P. truculenta,Chile; J. Hollinger 1925; UBC,KX897398,KX923087,VIIIb
P335,P. truculenta,Chile; T. Wheeler 1093; T. Wheeler Private Coll.,KX897399,KX923088,VIIIb
P3057,P. truculenta,"Chile, J. Hollinger 1936; UBC",YYYYYYYY,YYYYYYYY,XVb
P330,P. truculenta,Chile; T. Wheeler 3826; T. Wheeler Private Coll.,KX897400,KX923089,XVb
HOB040605-03-1,P. aphthosa 5,Ghost Lake ,KC437627,KC437880,IV
HOB040605-09-2,P. aphthosa 5,Ghost Lake,KC437624,KC437898,IV
HOB020708-0-5-7,P. aphthosa 5,Spahats Creek,KC437625,KC437841,IV
HOB020708-35-5-4,P. aphthosa 5,Spahats Creek,FJ708820,KC437651,IV
HOB020708-35-5-6,P. aphthosa 5,Spahats Creek,FJ708821,KC437652,IV
HOB020708-4-1-5,P. aphthosa 5,Spahats Creek,FJ708822,KC437653,IV
HOB020708-4-1-9,P. aphthosa 5,Spahats Creek,KC437623,KC437849,IV
HOB020708-4-5-7,P. aphthosa 5,Spahats Creek,FJ708823,KC437654,IV
HOB020708-66-9-10,P. aphthosa 5,Spahats Creek,FJ708830,KC437661,IV
HOB020708-66-9-6,P. aphthosa 5,Spahats Creek,FJ708831,KC437662,IV
HOB020708-66-9-8,P. aphthosa 5,Spahats Creek,FJ708832,KC437663,IV
HOB020708-8-5-9,P. aphthosa 5,Spahats Creek,FJ708841,KC437668,IV
HOB020708-8-9-5,P. aphthosa 5,Spahats Creek,FJ708837,KC437667,IV
HOB020708-31-1-8,P. aphthosa 5,Spahats Creek,FJ708844,KC437670,VIa
HOB020708-35-5-5,P. aphthosa 5,Spahats Creek,FJ708845,KC437671,VIa
HOB020708-39-1-9,P. aphthosa 5,Spahats Creek,FJ708842,KC437669,VIa
HOB020708-4-9-4,P. aphthosa 5,Spahats Creek,FJ708824,KC437655,VIa
HOB020708-4-9-5,P. aphthosa 5,Spahats Creek,KC437615,KC437853,VIa
HOB020708-4-9-6,P. aphthosa 5,Spahats Creek,FJ708825,KC437656,VIa
HOB020708-4-9-7,P. aphthosa 5,Spahats Creek,FJ708826,KC437657,VIa
HOB020708-62-5-10,P. aphthosa 5,Spahats Creek,KC437614,KC437854,VIa
HOB020708-62-5-6,P. aphthosa 5,Spahats Creek,FJ708827,KC437658,VIa
HOB020708-66-5-10,P. aphthosa 5,Spahats Creek,FJ708828,KC437659,VIa
HOB020708-66-5-6,P. aphthosa 5,Spahats Creek,FJ708829,KC437660,VIa
HOB020708-70-9-10,P. aphthosa 5,Spahats Creek,KC437616,KC437863,VIa
HOB020708-8-5-10,P. aphthosa 5,Spahats Creek,FJ708833,KC437664,VIa
HOB020708-8-5-3,P. aphthosa 5,Spahats Creek,FJ708834,KC437665,VIa
HOB020708-8-5-7,P. aphthosa 5,Spahats Creek,FJ708835,KC437666,VIa
HOB030611-0-10-1,P. britannica,Battle Creek,KC437630,KC437865,VIa
HOB030611-0-10-2,P. britannica,Battle Creek,FJ708846,KC437672,VIa
HOB030611-0-5-1,P. britannica,Battle Creek,KC437617,KC437866,VIa
HOB030611-0-5-2,P. britannica,Battle Creek,KC437618,KC437867,VIa
HOB030611-10-0-1,P. britannica,Battle Creek,FJ708853,KC437677,VIa
HOB030611-5-5-1,P. britannica,Battle Creek,FJ708854,KC437678,VIa
HOB040605-02-3,P. britannica,Cameron Ridge,KC437631,KC437878,Ia
HOB040605-04-3,P. britannica,Ghost Lake,KC437633,KC437884,IV
HOB040605-06-3,P. britannica,Ghost Lake,KC437634,KC437892,IV
HOB040605-07-2,P. britannica,Ghost Lake,KC437632,KC437894,IV
HOB020708-0-1-9,P. britannica,Spahats Creek,FJ708857,KC437679,VIa
HOB020708-31-5-6,P. britannica,Spahats Creek,FJ708852,KC437676,VIa
HOB020708-39-1-10,P. britannica,Spahats Creek,FJ708858,KC437680,VIa
HOB020708-39-1-7,P. britannica,Spahats Creek,FJ708848,KC437673,VIa
HOB020708-66-5-7,P. britannica,Spahats Creek,FJ708850,KC437674,VIa
HOB020708-66-5-8,P. britannica,Spahats Creek,FJ708851,KC437675,VIa
HOB030611-10-10-4,P. canina 1,Battle Creek,FJ708887,KC437706,V
HOB030611-0-0-6,P. canina 1,Battle Creek,FJ708881,KC437700,VIa
HOB030611-0-0-7,P. canina 1,Battle Creek,FJ708882,KC437701,VIa
HOB030611-0-10-4,P. canina 1,Battle Creek,FJ708883,KC437702,VIa
HOB030611-10-0-3,P. canina 1,Battle Creek,FJ708884,KC437703,VIa
HOB030611-10-0-5,P. canina 1,Battle Creek,FJ708885,KC437704,VIa
HOB030611-10-0-6,P. canina 1,Battle Creek,FJ708886,KC437705,VIa
HOB030611-5-10-6,P. canina 1,Battle Creek,FJ708891,KC437710,Via
HOB030611-10-5-2,P. canina 1,Battle Creek,FJ708888,KC437707,Vib
HOB030611-10-5-5,P. canina 1,Battle Creek,FJ708889,KC437708,Vib
HOB020708-4-5-1,P. canina 1,Spahats Creek,FJ708890,KC437709,V
HOB020708-0-1-1,P. canina 1,Spahats Creek,FJ708877,KC437696,VIa
HOB020708-0-1-2,P. canina 1,Spahats Creek,FJ708878,KC437697,VIa
HOB020708-0-1-3,P. canina 1,Spahats Creek,FJ708879,KC437698,VIa
HOB020708-39-5-2,P. canina 1,Spahats Creek,FJ708880,KC437699,Vib
HOB020708-31-5-1,P. canina 2,Spahats Creek,FJ708873,KC437692,VIa
HOB020708-31-5-2,P. canina 2,Spahats Creek,FJ708874,KC437693,VIa
HOB020708-70-1-3,P. canina 2,Spahats Creek,FJ708875,KC437694,VIa
HOB020708-70-5-2,P. canina 2,Spahats Creek,FJ708876,KC437695,VIa
HOB040605-12-3,P. cinnamomea,Barkersville,FJ708911,KC437730,V
HOB040605-11-2,P. cinnamomea,Barkersville,FJ708913,KC437732,Vib
HOB030611-0-0-4,P. cinnamomea,Battle Creek,FJ708912,KC437731,V
HOB030611-0-5-10,P. cinnamomea,Battle Creek,FJ708914,KC437733,Vib
HOB030611-0-5-7,P. cinnamomea,Battle Creek,FJ708915,KC437734,Vib
HOB040605-04-1,P. collina,Ghost Lake,KC437638,KC437882,Ib
HOB040605-05-3,P. collina,Ghost Lake,KC437639,KC437889,Ib
HOB040605-06-1,P. collina,Ghost Lake,KC437640,KC437890,Ib
HOB040605-07-1,P. collina,Ghost Lake,KC437641,KC437893,Ib
HOB040605-07-3,P. collina,Ghost Lake,KC437642,KC437895,Ib
HOB040605-10-3,P. degenii,Barkersville,FJ709030,KC437831,XIII
HOB020708-31-1-1,"P. ""fuscopraetextata""  ",Spahats Creek,FJ708903,KC437722,Via
HOB020708-31-5-3,"P. ""fuscopraetextata""  ",Spahats Creek,FJ708892,KC437711,VIa
HOB020708-4-1-1,"P. ""fuscopraetextata""  ",Spahats Creek,FJ708898,KC437717,VIa
HOB020708-4-1-2,"P. ""fuscopraetextata""  ",Spahats Creek,FJ708899,KC437718,VIa
HOB020708-4-5-2,"P. ""fuscopraetextata""  ",Spahats Creek,FJ708900,KC437719,VIa
HOB020708-62-1-2,"P. ""fuscopraetextata""  ",Spahats Creek,FJ708902,KC437721,Via
HOB020708-62-5-2,"P. ""fuscopraetextata""  ",Spahats Creek,KC437607,KC437855,Via
HOB020708-62-5-3,"P. ""fuscopraetextata""  ",Spahats Creek,FJ708893,KC437712,VIa
HOB020708-66-1-1,"P. ""fuscopraetextata""  ",Spahats Creek,FJ708894,KC437713,VIa
HOB020708-66-1-2,"P. ""fuscopraetextata""  ",Spahats Creek,FJ708895,KC437714,VIa
HOB020708-8-1-2,"P. ""fuscopraetextata""  ",Spahats Creek,FJ708896,KC437715,VIa
HOB020708-8-9-1,"P. ""fuscopraetextata""  ",Spahats Creek,FJ708897,KC437716,VIa
HOB020708-62-5-1,"P. ""fuscopraetextata""  ",Spahats Creek,FJ708901,KC437720,Vib
HOB040605-09-1,P. horizontalis,Ghost Lake,KC437645,KC437897,V
HOB020708-8-1-1,P. horizontalis,Spahats Creek,FJ708930,KC437744,V
HOB020708-8-5-1,P. horizontalis,Spahats Creek,FJ708931,KC437745,V
HOB020708-8-5-2,P. horizontalis,Spahats Creek,FJ708932,KC437746,V
HOB020708-8-9-2,P. horizontalis,Spahats Creek,FJ708933,KC437747,V
HOB040605-13-4,P. kristinssonii,Barkersville,FJ708951,KC437764,Via
HOB020708-62-1-4,P. kristinssonii,Spahats Creek,FJ708935,KC437748,Via
HOB020708-62-1-5,P. kristinssonii,Spahats Creek,FJ708952,KC437765,VIa
HOB020708-62-1-6,P. kristinssonii,Spahats Creek,FJ708936,KC437749,Via
HOB020708-62-1-7,P. kristinssonii,Spahats Creek,FJ708937,KC437750,Via
HOB020708-66-1-5,P. kristinssonii,Spahats Creek,FJ708938,KC437751,Via
HOB020708-66-5-3,P. kristinssonii,Spahats Creek,FJ708953,KC437766,VIa
HOB020708-66-5-4,P. kristinssonii,Spahats Creek,FJ708939,KC437752,Via
HOB020708-66-5-5,P. kristinssonii,Spahats Creek,FJ708940,KC437753,VIa
HOB020708-70-1-1,P. kristinssonii,Spahats Creek,FJ708941,KC437754,VIa
HOB020708-70-1-5a,P. kristinssonii,Spahats Creek,KC437637,KC437861,VIa
HOB020708-70-5-7,P. kristinssonii,Spahats Creek,FJ708942,KC437755,VIa
HOB020708-70-5-8,P. kristinssonii,Spahats Creek,FJ708943,KC437756,VIa
HOB020708-70-5-9,P. kristinssonii,Spahats Creek,FJ708944,KC437757,VIa
HOB020708-70-9-1,P. kristinssonii,Spahats Creek,FJ708945,KC437758,VIa
HOB020708-70-9-2,P. kristinssonii,Spahats Creek,FJ708946,KC437759,VIa
HOB020708-70-9-3,P. kristinssonii,Spahats Creek,FJ708947,KC437760,VIa
HOB020708-70-9-4,P. kristinssonii,Spahats Creek,FJ708948,KC437761,VIa
HOB020708-70-9-5,P. kristinssonii,Spahats Creek,FJ708949,KC437762,VIa
HOB020708-70-9-6,P. kristinssonii,Spahats Creek,FJ708950,KC437763,VIa
HOB040605-01-3,P. leucophlebia 1,Cameron Ridge,KC437620,KC437875,Ia
HOB040605-05-2-2,P. leucophlebia 1,Ghost Lake,KC437619,KC437888,Ia
HOB020708-4-1-7,P. leucophlebia 1,Spahats Creek,FJ709013,KC437817,Ia
HOB020708-0-1-6,P. leucophlebia 1,Spahats Creek,FJ709004,KC437809,VIa
HOB020708-0-1-7,P. leucophlebia 1,Spahats Creek,FJ709005,KC437810,VIa
HOB020708-0-5-5,P. leucophlebia 1,Spahats Creek,FJ709028,KC437829,VIa
HOB020708-0-9-5,P. leucophlebia 1,Spahats Creek,FJ709029,KC437830,VIa
HOB020708-35-1-6,P. leucophlebia 1,Spahats Creek,FJ709007,KC437811,VIa
HOB020708-35-5-10,P. leucophlebia 1,Spahats Creek,FJ709008,KC437812,VIa
HOB020708-35-5-7,P. leucophlebia 1,Spahats Creek,FJ709009,KC437813,VIa
HOB020708-35-5-9,P. leucophlebia 1,Spahats Creek,FJ709010,KC437814,VIa
HOB020708-39-1-5,P. leucophlebia 1,Spahats Creek,FJ709011,KC437815,VIa
HOB020708-39-1-6,P. leucophlebia 1,Spahats Creek,FJ709012,KC437816,VIa
HOB020708-4-5-5,P. leucophlebia 1,Spahats Creek,FJ709014,KC437818,VIa
HOB020708-4-9-1,P. leucophlebia 1,Spahats Creek,FJ709015,KC437819,VIa
HOB020708-4-9-2,P. leucophlebia 1,Spahats Creek,FJ709016,KC437820,VIa
HOB020708-4-9-3,P. leucophlebia 1,Spahats Creek,FJ709017,KC437821,VIa
HOB020708-62-9-3,P. leucophlebia 1,Spahats Creek,FJ709019,KC437822,VIa
HOB020708-66-5-9,P. leucophlebia 1,Spahats Creek,FJ709020,KC437823,VIa
HOB020708-8-1-4,P. leucophlebia 1,Spahats Creek,FJ709021,KC437824,VIa
HOB020708-8-1-5,P. leucophlebia 1,Spahats Creek,FJ709022,KC437825,VIa
HOB020708-8-1-9,P. leucophlebia 1,Spahats Creek,FJ709023,KC437826,VIa
HOB020708-8-9-3,P. leucophlebia 1,Spahats Creek,FJ709024,KC437827,VIa
HOB020708-8-9-4,P. leucophlebia 1,Spahats Creek,FJ709025,KC437828,VIa
HOB040605-12-2,P. leucophlebia 2,Barkersville,FJ708986,KC437795,VIa
HOB040605-11-1,P. leucophlebia 2,Barkersville,FJ708985,KC437794,Vib
HOB030611-10-5-1,P. leucophlebia 2,Battle Creek,FJ708980,KC437789,VIa
HOB030611-10-5-4,P. leucophlebia 2,Battle Creek,FJ708981,KC437790,VIa
HOB030611-10-5-6,P. leucophlebia 2,Battle Creek,FJ708982,KC437791,VIa
HOB030611-10-5-7,P. leucophlebia 2,Battle Creek,FJ708983,KC437792,VIa
HOB030611-5-10-2,P. leucophlebia 2,Battle Creek,FJ708969,KC437780,VIa
HOB030611-5-10-3,P. leucophlebia 2,Battle Creek,KC437612,KC437871,VIa
HOB030611-5-5-2,P. leucophlebia 2,Battle Creek,FJ708984,KC437793,VIa
HOB040605-02-4,P. leucophlebia 2,Cameron Ridge,KC437611,KC437879,IV
HOB040605-05-2-1,P. leucophlebia 2,Ghost Lake,KC437610,KC437887,IV
HOB020708-70-1-9,P. leucophlebia 2,Spahats Creek,FJ708964,KC437775,Ia
HOB020708-35-5-8,P. leucophlebia 2,Spahats Creek,FJ708988,KC437797,IV
HOB020708-0-1-4,P. leucophlebia 2,Spahats Creek,FJ708970,KC437781,VIa
HOB020708-0-1-5,P. leucophlebia 2,Spahats Creek,FJ708971,KC437782,VIa
HOB020708-0-1-8,P. leucophlebia 2,Spahats Creek,FJ708954,KC437767,VIa
HOB020708-0-5-2,P. leucophlebia 2,Spahats Creek,FJ708987,KC437796,VIa
HOB020708-0-5-4,P. leucophlebia 2,Spahats Creek,KC437613,KC437840,VIa
HOB020708-0-9-4,P. leucophlebia 2,Spahats Creek,FJ708955,KC437768,VIa
HOB020708-0-9-6,P. leucophlebia 2,Spahats Creek,FJ708956,KC437769,VIa
HOB020708-0-9-7,P. leucophlebia 2,Spahats Creek,FJ708957,KC437770,VIa
HOB020708-31-5-7,P. leucophlebia 2,Spahats Creek,FJ708972,KC437783,VIa
HOB020708-31-5-8,P. leucophlebia 2,Spahats Creek,FJ708973,KC437784,VIa
HOB020708-31-9-5,P. leucophlebia 2,Spahats Creek,FJ708959,KC437771,VIa
HOB020708-31-9-7,P. leucophlebia 2,Spahats Creek,FJ708960,KC437772,VIa
HOB020708-4-1-4,P. leucophlebia 2,Spahats Creek,FJ708962,KC437773,VIa
HOB020708-4-1-6,P. leucophlebia 2,Spahats Creek,KC437608,KC437848,VIa
HOB020708-4-1-8,P. leucophlebia 2,Spahats Creek,FJ708963,KC437774,VIa
HOB020708-4-5-4,P. leucophlebia 2,Spahats Creek,FJ708974,KC437785,VIa
HOB020708-4-5-8,P. leucophlebia 2,Spahats Creek,FJ708975,KC437786,VIa
HOB020708-62-9-6,P. leucophlebia 2,Spahats Creek,FJ708977,KC437787,VIa
HOB020708-70-1-10,P. leucophlebia 2,Spahats Creek,KC437609,KC437860,VIa
HOB020708-70-9-7,P. leucophlebia 2,Spahats Creek,FJ708965,KC437776,VIa
HOB020708-70-9-8,P. leucophlebia 2,Spahats Creek,FJ708966,KC437777,VIa
HOB020708-8-1-10,P. leucophlebia 2,Spahats Creek,FJ708978,KC437788,VIa
HOB020708-8-1-7,P. leucophlebia 2,Spahats Creek,FJ708967,KC437778,VIa
HOB020708-8-1-8,P. leucophlebia 2,Spahats Creek,FJ708996,KC437802,VIa
HOB020708-8-5-4,P. leucophlebia 2,Spahats Creek,FJ708968,KC437779,VIa
HOB020708-8-5-5,P. leucophlebia 2,Spahats Creek,FJ708990,KC437799,VIa
HOB020708-8-5-6,P. leucophlebia 2,Spahats Creek,FJ708991,KC437800,VIa
HOB040605-13-5,P. leucophlebia 3,Barkersville,FJ708994,KC437801 ,unique 4
HOB040605-13-1,P. leucophlebia 3,Barkersville,FJ708989,KC437798,VIa
HOB020708-66-1-7,P. leucophlebia 3,Spahats Creek,FJ708997,KC437803,VIa
HOB030611-0-0-3,P. leucophlebia 4,Battle Creek,FJ709001,KC437806,VIa
HOB030611-0-10-3,P. leucophlebia 4,Battle Creek,FJ708998,KC437804,VIa
HOB030611-0-5-5,P. leucophlebia 4,Battle Creek,FJ709002,KC437807,VIa
HOB030611-5-10-4,P. leucophlebia 4,Battle Creek,FJ708999,KC437805,VIa
HOB030611-5-10-5,P. leucophlebia 4,Battle Creek,FJ709003,KC437808,VIa
HOB020708-31-1-2,P. malacea 1,Spahats Creek,FJ708872,KC437691,III
HOB040605-03-2,P. malacea 5,Ghost Lake,KC437621,KC437881,III
HOB040605-07-4,P. malacea 5,Ghost Lake,KC437629,KC437896,III
HOB040605-04-2,P. malacea 5,Ghost Lake,KC437628,KC437883,IV
HOB020708-31-1-3,P. malacea 5,Spahats Creek,FJ708871,KC437690,III
HOB020708-31-1-4,P. malacea 5,Spahats Creek,FJ708859,KC437681,III
HOB020708-31-5-4,P. malacea 5,Spahats Creek,FJ708860,KC437682,III
HOB020708-35-1-2,P. malacea 5,Spahats Creek,FJ708861,KC437683,III
HOB020708-35-1-3,P. malacea 5,Spahats Creek,FJ708862,KC437684,III
HOB020708-35-1-4,P. malacea 5,Spahats Creek,FJ708863,KC437685,III
HOB020708-35-5-2,P. malacea 5,Spahats Creek,KC437626,KC437846,III
HOB020708-62-5-4,P. malacea 5,Spahats Creek,KC437622,KC437856,III
HOB020708-70-5-3,P. malacea 5,Spahats Creek,FJ708864,KC437686,III
HOB020708-70-5-4,P. malacea 5,Spahats Creek,FJ708865,KC437687,III
HOB020708-70-5-5,P. malacea 5,Spahats Creek,FJ708866,KC437688,III
HOB020708-70-5-6,P. malacea 5,Spahats Creek,FJ708867,KC437689,III
HOB040605-10-1,P. membranacea,Barkersville,FJ709034,KC437835,XIII
HOB040605-01-2,P. membranacea,Cameron Ridge,KC437646,KC437874,unique 2
HOB020708-0-9-1,P. membranacea,Spahats Creek,FJ709031,KC437832,V
HOB020708-0-9-2,P. membranacea,Spahats Creek,FJ709032,KC437833,V
HOB020708-0-9-3,P. membranacea,Spahats Creek,FJ709033,KC437834,V
HOB040605-12-4,P. neckeri,Barkersville,FJ708929,KC437743,Ia
HOB040605-13-2,P. neckeri,Barkersville,FJ708928,KC437742,Ia
HOB040605-13-3,"P. ""neocanina""  ",Barkersville,KC437636,KC437900,unique 1
HOB040605-02-2,"P. ""neocanina""  ",Cameron Ridge,KC437635,KC437877,Ia
HOB020708-66-5-2,"P. ""neocanina""  ",Spahats Creek,FJ708916,KC437735,Ia
HOB020708-0-5-1,"P. ""neocanina""  ",Spahats Creek,FJ708922,KC437741,V
HOB020708-66-9-1,"P. ""neocanina""  ",Spahats Creek,FJ708917,KC437736,V
HOB020708-66-9-2,"P. ""neocanina""  ",Spahats Creek,FJ708918,KC437737,V
HOB020708-66-9-3,"P. ""neocanina""  ",Spahats Creek,FJ708919,KC437738,V
HOB020708-66-9-4,"P. ""neocanina""  ",Spahats Creek,FJ708920,KC437739,V
HOB020708-66-9-5,"P. ""neocanina""  ",Spahats Creek,FJ708921,KC437740,V
HOB040605-02-1,P. neopolydactyla 1,Cameron Ridge,KC437647,KC437876,VIIa
HOB040605-10-2,P. neopolydactyla 2,Barkersville,FJ709036,KC437836,XIII
HOB030611-10-10-3,P. polydactylon ssp. udeghe,Battle Creek,KC437643,KC437869,V
HOB030611-10-10-6,P. polydactylon ssp. udeghe,Battle Creek,KC437644,KC437870,V
HOB030611-0-5-6,P. polydactylon ssp. udeghe,Battle Creek,FJ709038,KC437837,VIb
HOB020708-62-1-3,P. ponojensis 3,Spahats Creek,FJ709039,KC437838,Via
HOB020708-70-1-4,P. ponojensis 5b,Spahats Creek,FJ709040,KC437839,Via
HOB030611-5-10-8,P. praetextata,Battle Creek,KC437650,KC437873,unique 3
HOB030611-0-0-5,P. praetextata,Battle Creek,FJ708905,KC437724,VIa
HOB030611-0-5-8,P. praetextata,Battle Creek,FJ708906,KC437725,VIa
HOB030611-5-10-7,P. praetextata,Battle Creek,KC437648,KC437872,VIa
HOB020708-31-9-2,P. praetextata,Spahats Creek,FJ708904,KC437723,Via
HOB030611-10-0-4,P. sp. 20,Battle Creek,FJ708909,KC437728,VIa
HOB030611-10-5-3,P. sp. 20,Battle Creek,FJ708910,KC437729,VIa
HOB020708-62-1-1,P. sp. 20,Spahats Creek,FJ708907,KC437726,VIa
HOB020708-66-1-4,P. sp. 20,Spahats Creek,FJ708908,KC437727,VIa
HOB040605-12-1,P. venosa,Barkersville,KC437649,KC437899,VIa
HOB020708-4-5-3,P. venosa,Spahats Creek,KC437590,KC437851,VIa
HOB020708-70-1-8,P. venosa,Spahats Creek,KC437591,KC437862,VIa