DNA extraction no.*,Species name and clade no.**,Voucher,Mycobiont multilocus sequence type,Chemotype,ITS,_ -tubulin,COR1b,COR3,No. of genes,Nostoc haplotype****,Nostoc phylogroup,rbcLX
HOB040605-6-3,P. britannica 1,"Canada, British Columbia, H. O'Brien s.n., DUKE",H59,N/A,FJ708856,FJ709285,missing,missing,2,N/A,N/A,missing
HOB040605-7-2,P. britannica 1,"Canada, British Columbia, H. O'Brien s.n., DUKE",H57,N/A,FJ708847,FJ709278,missing,missing,2,N/A,N/A,missing
P1033,P. britannica 1,"Norway, N. Magain s.n., 2011, LG ",H69,bri I,MK680389,MK688882,missing,missing,2,H3,IV,MK720740
P1049,P. britannica 1,"U.S., Montana, C. Wetmore 94801, MIN",H55,N/A,MK680388,MK688881,MK688668,missing,3,N/A,N/A,missing
P1050,P. britannica 1,"U.S., Oregon, C. Wetmore 94993, MIN",H57,bri II,MK680391,MK688883,MK688669,missing,3,H9,IV,MK720742
P1065,P. britannica 1,"U.S., Minnesota, C. Wetmore 96135, MIN",H71,bri I,MK680394,MK688886,MK688670,MK688760,4,N/A,N/A,missing
P1080,P. britannica 1,"U.S., Washington, C. Wetmore 24550, MIN",H57,bri I,MK680393,MK688885,missing,missing,2,H9,IV,MK720747
P1324,P. britannica 1,"Canada, British Columbia, J. Lendemer 22342, NYBG 01221288",H60,bri I,MK680377,MK688869,MK688664,missing,3,H9,IV,MK720756
P1325,P. britannica 1,"Canada, British Columbia, J. Lendemer 22343, NYBG 01221287",H61,N/A,MK680378,MK688870,missing,missing,2,N/A,N/A,missing
P228,P. britannica 1,"Canada, British Columbia, T. Goward 09-120, UBC",H64,N/A,MK680381,MK688873,missing,missing,2,H9,IV,MK720764
P229,P. britannica 1,"Canada, British Columbia, T. Goward 08-76, UBC",H65,bri II,MH734722P,MK688874,MK688665,missing,3,H3,IV,MK720765
P234,P. britannica 1,"Canada, British Columbia, T. Goward 08-72, UBC",H66,N/A,MK680383,MK688876,missing,missing,2,N/A,N/A,missing
P235,P. britannica 1,"Canada, British Columbia, T. Goward 06-834A, UBC",H66,bri II,MK680384,MK688877,missing,missing,2,N/A,N/A,missing
P747,P. britannica 1,"Spain, H. Sipman 45194, B",H70,bri I,MK680392,MK688884,missing,missing,2,N/A,N/A,missing
P784,P. britannica 1,"Norway, N. Magain s.n., 2011, LG ",H69,bri I,MK680390,missing,missing,missing,1,N/A,N/A,missing
Tønsberg 7672,P. britannica 1,"Norway, T. Tønsberg 7672, BG",H67,N/A,AF158646,missing,missing,missing,1,N/A,N/A,missing
HOB020708-0-1-9,P. britannica 2,"Canada, British Columbia, H. O'Brien s.n., DUKE",H53,N/A,FJ708857,FJ709286,missing,missing,2,N/A,N/A,missing
HOB020708-31-5-6,P. britannica 2,"Canada, British Columbia, H. O'Brien s.n., DUKE",H54,N/A,FJ708852,FJ709282,missing,missing,2,N/A,N/A,missing
HOB020708-39-1-10,P. britannica 2,"Canada, British Columbia, H. O'Brien s.n., DUKE",H53,N/A,FJ708858,FJ709287,missing,missing,2,N/A,N/A,missing
HOB030611-10-0-1,P. britannica 2,"Canada, British Columbia, H. O'Brien s.n., DUKE",H54,N/A,FJ708853,FJ709283,missing,missing,2,N/A,N/A,missing
HOB030611-5-5-1,P. britannica 2,"Canada, British Columbia, H. O'Brien s.n., DUKE",H54,N/A,FJ708854,FJ709284,missing,missing,2,N/A,N/A,missing
P1043,P. britannica 2,"U.S., Colorado, C. Wetmore 95265, MIN",H68,bri I,MK680386,MK688879,MK688666,MK688759,4,N/A,N/A,missing
P1066,P. britannica 2,"U.S., Wyoming, C. Wetmore 96597, MIN",H72,N/A,MK680395,MK688887,MK688671,MK688761,4,N/A,N/A,missing
P1078,P. britannica 2,"Canada, Yukon, B. McCune 31431, McCune herb.",H73,bri I,MK680396,MK688888,MK688672,MK688762,4,H22,IV,MK720746
P285,P. britannica 2,"Canada, Alberta, J. Hollinger 1032, UBC",H53,aph Ia ,MK680385,MK688878,missing,MK688758,3,H10,VI,MK720769
P779,P. britannica 2,"Iceland, H. Kristinsson 48989, AMNH",H54,bri I,MK680387,MK688880,MK688667,missing,3,N/A,N/A,missing
TG 95-255,P. chionophila,"Canada, British Columbia, T. Goward 95-255, UBC",H75,N/A,AF158648,missing,missing,missing,1,N/A,N/A,missing
TG 96-494,P. chionophila,"Canada, British Columbia, T. Goward 96-494, UBC",H74,N/A,AF158647,missing,missing,missing,1,N/A,N/A,missing
P1139,P. chionophila,"Canada, British Columbia, T. Goward 02-413, UBC",H76,chio I,MK680397,MK688889,MK688673,missing,3,N/A,N/A,missing
P1140,P. chionophila,"Canada, British Columbia, T. Goward 02-398, UBC",H75,N/A,MK680398,MK688890,MK688674,missing,3,N/A,N/A,missing
P1141,P. chionophila,"Canada, British Columbia, T. Goward 02-575, UBC",H75,N/A,MK680399,MK688891,MK688675,missing,3,N/A,N/A,missing
P1142,P. chionophila,"Canada, British Columbia, T. Goward 02-414, UBC",H77,chio I,MK680400,MK688892,MK688676,missing,3,N/A,N/A,missing
P237,P. chionophila,"Canada, British Columbia, T. Goward 06-1255, UBC",H78,N/A,MH734719P,MH756803P,MH756874P,MH756999P,4,N/A,N/A,missing
P252,P. chionophila,"Canada, British Columbia, T. Goward 06-1375, UBC",H79,N/A,MK680401,missing,MK688677,MK688763,3,N/A,N/A,missing
P4038,P. chionophila,"Canada, British Columbia, C. Björk 17199, UBC",H76,N/A,MK680402,MK688893,MK688678,missing,3,N/A,N/A,missing
P4039,P. chionophila,"Canada, British Columbia, C. Björk 19447, UBC",H76,N/A,MK680403,MK688894,MK688679,missing,3,N/A,N/A,missing
P4040,P. chionophila,"Canada, British Columbia, C. Björk 14702, UBC",H75,N/A,MK680404,MK688895,MK688680,missing,3,N/A,N/A,missing
P4041,P. chionophila,"Canada, British Columbia, T. Goward 95-15, UBC",H76,N/A,MK680405,MK688896,MK688681,missing,3,N/A,N/A,missing
P764,P. chionophila,"Canada, British Columbia, T. Ahti 68753, H",H76,chio I,MK680406,MK688897,MK688682,missing,3,N/A,N/A,missing
P1174,P. frippii,"Norway, Finmark, O. Vitikainen 8323, H",H80,fri I ,MK680407,MK688898,missing,missing,2,H8,IV,MK720777
P1345,P. frippii,"Canada, Québec, Nunavik, J. Gagnon s.n., QFA-0595017",H80,fri I,MK680408,MK688899,MK688683,missing,3,N/A,N/A,missing 
P1370,P. frippii,"Russia, NW Siberia, M. P. Andreev 91762 p.p., H",H80,N/A,MK680410,MK688902,MK688686,missing,3,N/A,N/A,missing
P4036,P. frippii,"Canada, Nunavut, C. Björk 27565, UBC",H80,N/A,MH734720P,MK688900,MK688684,missing,3,N/A,N/A,missing
P4037,P. frippii,"Canada, Nunavut, C. Björk 27420, UBC",H80,N/A,MK680409,MK688901,MK688685,missing,3,N/A,N/A,missing
HOB020708-31-1-2,P. malacea 1,"Canada, British Columbia, H. O'Brien s.n., DUKE",H83,N/A,FJ708872,FJ709430,missing,missing,2,HT22,III,KC437691
P1180,P. malacea 1,"Russia, Yakutia, T. Ahti 61978, H",H100,mal I,MK680449,MK688939,missing,missing,2,N/A,N/A,missing
P1337,P. malacea 1,"Canada, Québec, Nunavik, J. Gagnon s.n., QFA-0595129",H100,mal I,MK680443,MK688933,MK688704,missing,3,N/A,N/A,missing
P1339,P. malacea 1,"Canada, Québec, Nunavik, J. Gagnon s.n., QFA-0595128",H100,mal I,MK680444,MK688934,missing,missing,2,H6,III,MK720759
P1347,P. malacea 1,"Canada, Québec, Nunavik, J. Gagnon s.n., QFA-0595016",H83,mal I,MK680445,MK688935,MK688705,missing,3,N/A,N/A,missing
P1350,P. malacea 1,"Canada, Québec, Nunavik, J. Gagnon s.n., QFA-0594799",H101,N/A,MK680446,MK688936,MK688706,missing,3,N/A,N/A,missing
P275,P. malacea 1,"Canada, British Columbia, T. Goward 10-108, UBC",H89,mal I,MH734721P,MK688912,MK688693,MK688769,4,N/A,N/A,missing
P4019,P. malacea 1,"Canada, Alberta, J. Miadlikowska and F. Lutzoni s.n., 16.08. 2013, DUKE",H84,N/A,MK680417 ,missing,MK688690,MK688766,3,N/A,N/A,missing
P4051,P. malacea 1,"Canada, Yukon, J. Lendemer 28534A, DUKE",H83,mal I,MK680484,MK688905,MK688688,missing,3,N/A,N/A,missing
P754,P. malacea 1,"Russia, Yakutia, T. Ahti 61461, H",H104,mal I,MK680451,MK688941,MK688709,missing,3,H14,III,MK720774
P1022 ,P. malacea 2,"Norway, N. Magain s.n., 2011, LG ",H111,mal V,MK680469,MK688958,MK688720,MK688790,4,N/A,N/A,missing
P1031,P. malacea 2,"Norway, N. Magain s.n., 2011, LG",H111,mal I,MK680470,MK688959,MK688721,MK688791,4,N/A,N/A,missing
P1033b,P. malacea 2,"Norway, N. Magain s.n., 2011, LG ",H109,N/A,MK680471,MK688960,missing,missing,2,H8,IV,MK720741
P109,P. malacea 2,"Canada, Québec, J. Miadlikowska et al., SN8C1, DUKE (P5004 in Lu et al. 2018)",H109,mal V,MG811719L,missing,missing,missing,1,N/A,N/A,missing
P1130,P. malacea 2,"Canada, Alberta, J. Hollinger 3884, UBC",H111,mal V,MK680462,MK688951,MK688717,MK688786,4,N/A,N/A,missing
P1179,P. malacea 2,"Russia, Krasnoyarsk Territory, V. Pervunin s.n., July 2000, H",H109,mal V,MK680473,MK688962,missing,missing,2,N/A,N/A,missing
P1364,P. malacea 2,"Finland, B. Krzewicka 2526, H",H113,mal V,MK680468,MK688957,MK688719,missing,3,N/A,N/A,missing
P276,P. malacea 2,"U.S., Alaska, E. Berg 3172, UBC",H111,mal I,MK680463,MK688952,missing,MK688787,3,H15,IV,MK720767
P277,P. malacea 2,"U.S., Alaska, E. Berg 3228, UBC",H109,N/A,MK680464,MK688953,missing,missing,2,N/A,N/A,missing
P278,P. malacea 2,"U.S., Alaska, E. Berg 3074, UBC",H111,N/A,MK680465,MK688954,missing,MK688788,3,N/A,N/A,missing
P279,P. malacea 2,"U.S., Alaska, E. Berg 3202, UBC",H111,N/A,MK680466,MK688955,missing,MK688789,3,H16,IV,MK720768
P4042,P. malacea 2,"U.S., Alaska, K. Spickerman s.n., 08.01.2013, DUKE",H109,mal I,MK680460,MK688949,MK688715,missing,3,N/A,N/A,missing
P4050,P. malacea 2,"Canada, Ontario, R. Troy McMullin 8925, DUKE",H112,N/A,MK680467,MK688956,MK688718,missing,3,N/A,N/A,missing
P703,P. malacea 2,"U.S., Alaska, J. Miadlikowska and F. Lutzoni s.n., 08.09.2011, DUKE",H110,mal I,MK680461,MK688950,MK688716,missing,3,H17,IV,MK720771
P783,P. malacea 2,"Norway, N. Magain s.n., 2011, LG ",H114,mal I,MK680472,MK688961,MK688722,missing,3,N/A,N/A,missing
P1072,P. malacea 3,"U.S., Wyoming, C. Wetmore 95691, MIN",H116,mal I,MK680477,MK688966,MK688724,MK688794,4,N/A,N/A,missing
P1073,P. malacea 3,"U.S., Wyoming, C. Wetmore 96025, MIN",H118,N/A,MK680478,MK688967,MK688725,MK688795,4,N/A,N/A,missing
P1074,P. malacea 3,"U.S., Wyoming, C. Wetmore 96461, MIN",H119,N/A,MK680479,MK688968,MK688726,missing,3,H5,III,MK720743
P1075,P. malacea 3,"U.S., Wyoming, C. Wetmore 96229, MIN",H116,N/A,MK680480,MK688969,MK688727,MK688796,4,H5,III,MK720744
P1076,P. malacea 3,"U.S., Wyoming, C. Wetmore 96581, MIN",H120,mal I,MK680481,MK688970,MK688728,MK688797,4,H5,III,MK720745
P1157,P. malacea 3,"U.S., Wyoming, C. Wetmore 96763, MIN",H118,N/A,MK680482,MK688971,MK688729,missing,3,H5,III,MK720748
P1159,P. malacea 3,"U.S., Wyoming, C. Wetmore 96420, MIN",H105,aph Ia ,MK680454,MK688943,MK688710,missing,3,H5,III,MK720749
P1160,P. malacea 3,"U.S., Wyoming, C. Wetmore 96256, MIN",H106,N/A,MK680455,MK688944,MK688711,MK688782,4,H18,III,MK720750
P1161,P. malacea 3,"U.S., Wyoming, C. Wetmore 96744, MIN",H107,N/A,MK680456,MK688945,MK688712,MK688783,4,H5,III,MK720751
P1163,P. malacea 3,"U.S., Wyoming, C. Wetmore 96051, MIN",H105,N/A,MK680458,MK688947,MK688713,MK688784,4,H19,III,MK720752
P1166,P. malacea 3,"U.S., Wyoming, C. Wetmore 96617, MIN",H108,N/A,MK680459,MK688948,MK688714,MK688785,4,H5,III,MK720753
P217,P. malacea 3,"Canada, British Columbia, T. Goward 06-1030A, UBC",H115,mal II,MK680474,MK688963,missing,missing,2,N/A,N/A,missing
P271,P. malacea 3,"Canada, British Columbia, C. Björk 22236, UBC",H116,N/A,MK680475,MK688964,missing,MK688792,3,H20,III,MK720766
P274,P. malacea 3,"Canada, British Columbia, T. Goward 09-111, UBC",H117,mal I,MK680476,MK688965,MK688723,MK688793,4,N/A,N/A,missing
P1008,P. malacea 4,"Norway, N. Magain s.n., 2011, LG ",H96,mal II,MK680434,MK688924,missing,MK688774,3,H6,III,MK720735
P1014,P. malacea 4,"Norway, N. Magain s.n., 2011, LG ",H98,N/A,MK680437,MK688927,MK688700,missing,3,H6,III,MK720738
P1027,P. malacea 4,"Norway, N. Magain s.n., 2011, LG ",H99,N/A,MK680439,MK688929,MK688701,MK688778,4,N/A,N/A,missing
P743,P. malacea 4,"U.S., Alaska, J. Miadlikowska and F. Lutzoni s.n., 08.09.2011, DUKE",H81,mal II,MK680483,MK688903,MK688687,MK688764,4,N/A,N/A,missing
P753,P. malacea 4,"Russia, Kamchatka, D. E. Himelbrant s.n., 12.20.2010, H",H102,mal II,MK680448,MK688938,MK688708,MK688781,4,H6,III,MK720773
Cieslinski s.n.,P. malacea 5,"Poland, Cieslinski s.n., KTC",H91,N/A,AY257966,missing,missing,missing,1,N/A,N/A,missing
Faltynowicz 5237,P. malacea 5,"Poland, Faltynowicz 5237, UGDA-L",H91,N/A,AY257965,missing,missing,missing,1,N/A,N/A,missing
HOB020708-31-1-3,P. malacea 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H86,N/A,FJ708871,FJ709429,missing,missing,2,HT9,III,KC437690
HOB020708-31-1-4,P. malacea 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H82,N/A,FJ708859,FJ709418,missing,missing,2,N/A,N/A,missing
HOB020708-31-5-4,P. malacea 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H82,N/A,FJ708860,FJ709419,missing,missing,2,N/A,N/A,missing
HOB020708-35-1-2,P. malacea 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H82,N/A,FJ708861,FJ709420,missing,missing,2,N/A,N/A,missing
HOB020708-35-1-3,P. malacea 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H82,N/A,FJ708862,FJ709421,missing,missing,2,N/A,N/A,missing
HOB020708-35-1-4,P. malacea 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H82,N/A,FJ708863,missing,missing,missing,1,N/A,N/A,missing
HOB020708-35-5-2,P. malacea 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H82,N/A,KC437626,missing,missing,missing,1,HT22,III,KC437846
HOB020708-62-5-4,P. malacea 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H82,N/A,KC437622,missing,missing,missing,1,HT9,III,KC437856
HOB020708-70-5-3,P. malacea 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H82,N/A,FJ708864,FJ709422,missing,missing,2,HT7,III,KC437686 
HOB020708-70-5-4,P. malacea 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H82,N/A,FJ708865,FJ709423,missing,missing,2,N/A,N/A,missing
HOB020708-70-5-5,P. malacea 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H82,N/A,FJ708866,FJ709424,missing,missing,2,N/A,N/A,missing
HOB020708-70-5-6,P. malacea 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H82,N/A,FJ708867,FJ709425,missing,missing,2,N/A,N/A,missing
HOB040605-03-2,P. malacea 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H82,N/A,KC437621,missing,missing,missing,1,HT7,III,KC437881
HOB040605-04-2,P. malacea 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H82,N/A,KC437628,missing,missing,missing,1,HT25,IV,KC437883
HOB040605-07-4,P. malacea 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H82,N/A,KC437629,missing,missing,missing,1,HT28,III,KC437896
HOB040605-3-2,P. malacea 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H82,N/A,FJ708868,FJ709426,missing,missing,2,N/A,N/A,missing
HOB040605-4-2,P. malacea 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H82,N/A,FJ708869,FJ709427,missing,missing,2,N/A,N/A,missing
HOB040605-7-4,P. malacea 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H82,N/A,FJ708870,FJ709428,missing,missing,2,N/A,N/A,missing
P1007,P. malacea 5,"Norway, N. Magain s.n., 2011, LG ",H82,N/A,MK680433,MK688923,missing,missing,2,H6,III,MK720734
P1011,P. malacea 5,"Norway, N. Magain s.n., 2011, LG",H97,mal I,MK680435,MK688925,missing,MK688775,3,H5,III,MK720736
P1012,P. malacea 5,"Norway, N. Magain s.n., 2011, LG",H97,N/A,MK680436,MK688926,missing,MK688776,3,H5,III,MK720737
P1017,P. malacea 5,"Norway, N. Magain s.n., 2011, LG",H97,N/A,MK680438,MK688928,missing,MK688777,3,H5,III,MK720739
P1028,P. malacea 5,"Norway, N. Magain s.n., 2011, LG",H97,N/A,MK680440,MK688930,MK688702,MK688779,4,N/A,N/A,missing
,,,,,,,,,,,,
P1042,P. malacea 5,"Canada, Ontario, C. Wetmore 88347, MIN",H82,N/A,MK680447,MK688937,MK688707,MK688780,4,N/A,N/A,missing
P1063,P. malacea 5,"U.S., Minnesota, C. Wetmore 87936, MIN",H82,mal II,MK680431,missing,MK688698,MK688772,3,N/A,N/A,missing
P1127,P. malacea 5,"U.S., South Dakota, J. Hollinger 3476, UBC ",H103,mal II,MK680450,MK688940,missing,missing,2,N/A,N/A,missing
P1128,P. malacea 5,"U.S., Montana, J. Hollinger 3311, UBC ",H95,mal I,MK680432,MK688922,MK688699,MK688773,4,N/A,N/A,missing
P1129,P. malacea 5,"Canada, Alberta, J. Hollinger 3830, UBC",H82,mal II,MK680415,MK688906,missing,missing,2,N/A,N/A,missing
P1162,P. malacea 5,"U.S., Wyoming, C. Wetmore 96137, MIN",H82,mal II,MK680457,MK688946,missing,missing,2,N/A,N/A,missing
P1178,P. malacea 5,"Canada, Manitoba, T. Ahti 63076, H",H82,mal II,MK680428,MK688919,missing,missing,2,N/A,N/A,missing
P1327,P. malacea 5,"Canada, Québec, Nunavik, J. Gagnon s.n., QFA-0595024",H82,N/A,MK680442,MK688932,missing,missing,2,H5,III,MK720757
P1359,P. malacea 5,"Switzerland, Schumm 08.1998, H",H82,mal I,MK680453,missing,missing,missing,1,N/A,N/A,missing
P1360,P. malacea 5,"Finland, O. Vitikainen 16401, H",H82,N/A,MK680423,MK688914,missing,missing,2,N/A,N/A,missing
P1361,P. malacea 5,"Finland, V. Haikonen 26190, H",H91,mal I,MK680424,MK688915,MK688695,missing,3,N/A,N/A,missing
P1363,P. malacea 5,"Russia, Karelia, P. Uotila 44104, H",H82,N/A,MK680427,MK688918,missing,missing,2,N/A,N/A,missing
P1365,P. malacea 5,"Finland, O. Vitikainen 16433, H",H82,N/A,MK680425,MK688916,missing,missing,2,N/A,N/A,missing
P1366,P. malacea 5,"Spain, A. R. Burgazet al. s.n., 02.06.1995, H",H91,mal I,MK680452,MK688942,missing,missing,2,N/A,N/A,missing
P1381,P. malacea 5,"Austria, J. Hafellner 68171, GZU 36-2007",H82,mal I,MK680418,MK688908,missing,missing,2,N/A,N/A,missing
P1382,P. malacea 5,"Austria, J. Hafellner 63415, GZU 7-2005",H85,N/A,MK680419,MK688909,missing,missing,2,N/A,N/A,missing
P216,P. malacea 5,"U.S., Alaska, E. Berg 3072, UBC ",H87,mal III,"GB, MK680420","GB, MK688910","GB, MK688691","GB, MK688767",4,N/A,N/A,missing
P273,P. malacea 5,"Canada, British Columbia, T. Goward 07-189, UBC",H88,N/A,MK680421,MK688911,MK688692,MK688768,4,N/A,N/A,missing
P4018,P. malacea 5,"Canada, Alberta, J. Miadlikowska et al. s.n., 08.06.2013, DUKE",H82,N/A,MK680416,MK688907,MK688689,MK688765,4,N/A,N/A,missing
P4028,P. malacea 5,"Russia, Caucasus, M. Zhurbenko 2012.8.18.2, DUKE",H90,mal I,MK680422,MK688913,MK688694,MK688770,4,N/A,N/A,missing
P4029,P. malacea 5,"U.S., Michigan, J. Miadlikowska et al. s.n., 06.28.2013, DUKE",H94,N/A,MK680430,MK688921,MK688697,MK688771,4,N/A,N/A,missing
P750,P. malacea 5,"Canada, Manitoba, T. Ahti 62902, H",H93,mal II,MK680429,MK688920,MK688696,missing,3,H5,III,MK720772
P781,P. malacea 5,"Iceland, H. Kristinsson L-27478, AMNH",H92,mal II,MK680426,MK688917,missing,missing,2,H21,III,MK720775
P798,P. malacea 5,"Norway, N. Magain s.n., 2011, LG ",H97,mal II,MK680441,MK688931,MK688703,missing,3,H5,III,MK720776
P1064,P. leucophlebia s.l.,"U.S., Wyoming, C. Wetmore 96081, MIN",N/A,N/A,MK680413,MK688972,missing,MK688798,3,N/A,N/A,missing
P1115,P. leucophlebia s.l.,"Canada, Alberta, J. Hollinger 3871, UBC",N/A,N/A,MK680414,MK688973,MK688730,MK688799,4,N/A,N/A,missing
P244,P. latiloba,"Canada, British Columbia, C. Björk 16336, UBC",N/A,N/A,MK680411,MK688974,MK688731,MK688800,4,N/A,N/A,missing
P294,P. latiloba,"Canada, British Columbia, C. Björk 18664, UBC",N/A,N/A,MK680412,MK688975,MK688732,MK688801,4,H23,Undefined (U),MK720770